Day fraction since midnight on 	red dye (mg/L)	Run Pump ()	Pump ()
0.601283271	6.027574539	1	1
0.601364296	6.154402256	1	1
0.601375862	6.133975029	1	1
0.601387431	6.027591705	1	1
0.601399008	6.058860302	1	1
0.601410598	6.080201149	1	1
0.601422157	6.071157455	1	1
0.601433743	6.114749908	1	1
0.601445302	6.058344364	1	1
0.60145689	6.12366581	1	1
0.601468464	6.106021881	1	1
0.601480022	6.141716003	1	1
0.601491606	6.13736248	1	1
0.601503184	6.113370895	1	1
0.601514764	6.134580612	1	1
0.601526337	6.08801651	1	1
0.601537894	6.090065956	1	1
0.601549477	6.143220425	1	1
0.601561041	6.186865807	1	1
0.601572626	6.041007996	1	1
0.601584208	6.227630615	1	1
0.601595783	6.180328846	1	1
0.601607357	6.206469536	1	1
0.601618916	6.271467686	1	1
0.601630485	6.222077847	1	1
0.601642064	6.154668331	1	1
0.601653648	6.182457447	1	1
0.601665223	6.172197342	1	1
0.601676784	6.108606815	1	1
0.601688363	6.266581535	1	1
0.60169993	6.190320492	1	1
0.60171151	6.225279331	1	1
0.601723078	6.235630512	1	1
0.601734666	6.237942696	1	1
0.601746227	6.302237988	1	1
0.601757815	6.198236466	1	1
0.601769379	6.207450867	1	1
0.601780951	6.278467178	1	1
0.601792536	6.164829731	1	1
0.601804104	6.229031563	1	1
0.601815686	6.156338692	1	1
0.601827245	6.24335146	1	1
0.601838821	6.221934319	1	1
0.601850407	6.287715435	1	1
0.601861973	6.31757164	1	1
0.601873545	6.287479401	1	1
0.601885129	6.221153736	1	1
0.60189669	6.316550732	1	1
0.601908282	6.333264351	1	1
0.601919852	6.287255287	1	1
0.601931427	7.527541161	1	1
0.601942995	6.276968002	1	1
0.601954573	6.324803829	1	1
0.601966143	6.437563896	1	1
0.601977729	6.663611889	1	1
0.601989297	6.5173769	1	1
0.602000872	6.577186585	1	1
0.602012446	6.34653759	1	1
0.602024017	6.430517197	1	1
0.602035591	6.723033905	1	1
0.602047169	6.484848499	1	1
0.602058734	6.544130802	1	1
0.602070308	6.615730763	1	1
0.602081877	19.04846191	1	1
0.602093459	117.3320999	1	1
0.602105026	106.726799	1	1
0.602116618	115.590416	1	1
0.602128179	104.753273	1	1
0.602139766	107.6979446	1	1
0.60215132	107.5927124	1	1
0.602162891	9.144859314	1	1
0.602174485	6.656020165	1	1
0.602186048	6.677462578	1	1
0.602197634	6.749242783	1	1
0.602209189	6.716318131	1	1
0.602220771	6.811414719	1	1
0.602232338	6.766423702	1	1
0.60224393	6.826486111	1	1
0.602255485	6.739327431	1	1
0.602267064	6.774800777	1	1
0.602278654	6.681162357	1	1
0.602290222	6.745434761	1	1
0.602301791	6.732620716	1	1
0.602313366	6.703999996	1	1
0.602324946	6.799823761	1	1
0.602336523	6.861567497	1	1
0.60234808	6.796917915	1	1
0.602359673	6.758464813	1	1
0.602371235	6.91933918	1	1
0.602382806	6.862931252	1	1
0.602394395	6.878137589	1	1
0.602405948	6.850061894	1	1
0.602417526	6.91915226	1	1
0.602429108	6.812866211	1	1
0.602440686	6.835578919	1	1
0.602452254	6.92069912	1	1
0.602463831	6.895113468	1	1
0.602475413	7.000794888	1	1
0.602486986	6.823462486	1	1
0.60249856	7.004924297	1	1
0.602510126	6.822867394	1	1
0.602521699	6.862755299	1	1
0.602533269	6.916971207	1	1
0.602544839	6.947662354	1	1
0.602556425	6.96170044	1	1
0.602567987	6.929610729	1	1
0.602579575	6.999832153	1	1
0.60259115	7.053956032	1	1
0.60260272	6.880685806	1	1
0.602614295	6.887807369	1	1
0.602625861	6.969088554	1	1
0.602637429	6.983053207	1	1
0.602649008	6.96999979	1	1
