Day fraction since midnight on 	red dye (mg/L)	Run Pump ()	Pump ()
0.642416944	13.76791573	1	1
0.642428536	13.61633682	1	1
0.642440092	13.72490788	1	1
0.642451673	13.75760365	1	1
0.642463258	13.69800282	1	1
0.642474823	13.66642666	1	1
0.642486398	13.78009033	1	1
0.642497978	13.66275215	1	1
0.642509542	13.74571514	1	1
0.64252112	13.60443497	1	1
0.642532683	13.62505817	1	1
0.642544271	13.65777302	1	1
0.642555831	13.78881645	1	1
0.642567404	13.73531342	1	1
0.642578984	13.59959126	1	1
0.64259057	13.68179798	1	1
0.642602139	13.71864796	1	1
0.642613711	13.74530029	1	1
0.642625274	13.57608128	1	1
0.642636863	13.69831657	1	1
0.642648439	13.71810818	1	1
0.642660001	13.70346546	1	1
0.64267159	13.75666237	1	1
0.642683147	13.73452282	1	1
0.64269473	13.61329079	1	1
0.642706294	13.61597347	1	1
0.642717876	13.78231812	1	1
0.642729458	13.69500446	1	1
0.642741026	13.82595348	1	1
0.642752588	13.69976044	1	1
0.64276417	13.74987888	1	1
0.642775752	13.73598671	1	1
pulse			
0.642787318	13.74829388	1	1
0.642798885	13.66994476	1	1
0.642810478	13.7109127	1	1
0.642822036	13.79204082	1	1
0.642833615	13.78705025	1	1
0.642845184	13.54960728	1	1
0.642856759	13.75824261	1	1
0.642868325	13.68288326	1	1
0.6428799	13.75408936	1	1
0.642891489	13.54939461	1	1
0.642903059	13.7907629	1	1
0.642914642	13.69685268	1	1
0.642926198	13.71128845	1	1
0.642937781	13.65875149	1	1
0.642949355	13.66091919	1	1
0.642960926	13.81599808	1	1
0.642972499	13.62922096	1	1
0.642984075	13.64426517	1	1
0.64299564	13.81449413	1	1
0.643007228	13.64657402	1	1
0.643018807	13.7965517	1	1
0.643030374	13.63860416	1	1
0.643041943	13.67800617	1	1
0.643053516	13.70841885	1	1
0.643065093	13.74475098	1	1
0.643076664	13.76184273	1	1
0.643088233	13.92305088	1	1
0.643099823	13.98853779	1	1
0.643111397	13.95349979	1	1
0.643122961	13.87884426	1	1
0.643134542	13.77988529	1	1
0.643146107	13.99326324	1	1
0.643157681	14.04018497	1	1
0.643169264	14.04405308	1	1
0.643180824	14.0989027	1	1
0.643192397	14.59400368	1	1
0.643203974	14.34043407	1	1
0.643215565	14.11776543	1	1
0.643227127	14.16986752	1	1
0.643238707	14.07475185	1	1
0.643250279	14.22225571	1	1
0.643261839	14.18278885	1	1
0.643273424	14.20122814	1	1
0.643284997	13.94322395	1	1
0.643296562	14.10976505	1	1
0.643308143	14.10561371	1	1
0.643319712	14.21229172	1	1
0.643331283	14.46897984	1	1
0.643342857	14.74185562	1	1
0.643354446	14.8226738	1	1
0.643366025	15.24552631	1	1
0.643377586	15.70358562	1	1
0.643389162	15.91536617	1	1
0.643400746	17.28531647	1	1
0.643412316	18.138834	1	1
0.643423874	18.26501083	1	1
0.643435453	18.25640106	1	1
0.643447026	18.21033669	1	1
0.643458618	18.26808548	1	1
0.643470178	18.68009186	1	1
0.643481748	19.93859291	1	1
0.64349334	20.67488289	1	1
0.643504905	21.44456673	1	1
0.643516485	22.42983437	1	1
0.64352805	22.84178734	1	1
0.643539622	22.48454857	1	1
0.643551195	22.18881226	1	1
0.643562768	22.98829269	1	1
0.643574349	23.22170639	1	1
0.643585922	23.56692123	1	1
0.643597505	23.97923088	1	1
0.643609075	24.08826828	1	1
0.643620651	24.76467133	1	1
0.643632225	25.26577187	1	1
0.643643786	25.24540901	1	1
0.643655357	25.06492233	1	1
0.643666944	24.69943047	1	1
0.643678502	25.10268402	1	1
0.643690081	25.92556763	1	1
0.643701658	26.07512856	1	1
0.643713236	26.05235291	1	1
0.643724803	25.81022263	1	1
0.643736371	26.00721169	1	1
0.643747949	25.86229706	1	1
0.643759524	26.64509964	1	1
0.643771107	26.28638649	1	1
0.64378267	26.31611824	1	1
0.643794255	25.81785393	1	1
0.643805829	25.88088226	1	1
0.643817393	26.42684555	1	1
0.643828981	27.03182602	1	1
0.643840541	27.46873283	1	1
0.643852118	27.29030037	1	1
0.643863688	27.07468414	1	1
0.643875274	26.50741768	1	1
0.643886849	26.68857002	1	1
0.643898426	26.71555519	1	1
0.643909984	26.78654671	1	1
0.643921564	27.00594711	1	1
0.643933141	27.0321064	1	1
0.643944711	27.09363174	1	1
0.643956293	27.37444878	1	1
0.643967868	27.68022156	1	1
0.643979442	28.07643318	1	1
0.643991016	28.14983368	1	1
0.644002576	28.29109764	1	1
0.644014161	28.39642906	1	1
0.644025731	28.06183815	1	1
0.644037312	28.35081291	1	1
0.644048866	28.63734627	1	1
0.644060458	29.06026459	1	1
0.644072026	29.69970131	1	1
0.644083599	29.88617897	1	1
0.644095164	30.16963959	1	1
0.644106745	30.35863304	1	1
0.644118309	30.77424049	1	1
0.644129897	30.86166573	1	1
0.644141472	30.91518402	1	1
0.644153046	31.51176453	1	1
0.644164607	32.2401619	1	1
0.644176198	33.11703873	1	1
0.644187762	33.05949402	1	1
