Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.659648597	3983.68457	0.51005137	35875.20703	0.001738806
0.659660169	3905.326172	0.521059454	35875.20703	0.001736353
0.659671768	3881.753662	0.530132473	35875.20703	0.001736296
0.659683316	3874.311768	0.542150915	35887.60156	0.00173604
0.65969483	3767.836182	0.551938593	35887.60156	0.001733142
0.659706458	4271.575195	0.563909113	35887.60156	0.001750618
0.659718042	4435.632813	0.581468761	35887.60156	0.001748806
0.659729612	4292.916016	0.589476645	35887.60156	0.001745296
0.659741196	4281.609375	0.601804197	35938.47656	0.001743589
0.659752758	4154.569824	0.617484689	35938.47656	0.001740079
0.659764351	4096.912598	0.626860917	35938.47656	0.001738201
0.659775923	4033.088867	0.637651742	35938.47656	0.00173832
0.659787482	3941.444336	0.649688721	35938.47656	0.001735202
0.659799064	3871.585693	0.658142865	35963.35156	0.001733466
0.659810657	3820.559082	0.669474423	35963.35156	0.001732029
0.659822222	3811.504639	0.678224027	35963.35156	0.00173157
0.65983378	3739.800293	0.696487248	35963.35156	0.001730314
0.659845351	3721.819336	0.688818932	35963.35156	0.001730126
0.659856957	3672.51709	0.710526168	36015.05469	0.001727119
0.659868504	3623.79248	0.734361887	36015.05469	0.001726123
0.659880076	3567.610107	0.742337763	36015.05469	0.001724489
0.659891645	3540.68335	0.75148958	36015.05469	0.001723374
0.659903218	3513.30127	0.764185607	36015.05469	0.001722758
0.659914812	4718.432129	0.784362376	36003.94922	0.001765302
0.659926382	5045.165527	0.79031533	36003.94922	0.00175999
0.659937964	4863.187988	0.799587786	36003.94922	0.001754329
0.659949511	4731.777832	0.82075417	36003.94922	0.001752144
0.659961084	4625.361328	0.824305117	36003.94922	0.001749579
0.659972621	4481.682617	0.835039377	35969.37891	0.001747359
0.659984253	4407.97168	0.852118254	35969.37891	0.001745018
0.659995827	4329.671875	0.86406225	35969.37891	0.001743868
0.660007409	4251.328125	0.892632067	35969.37891	0.001741359
0.660018992	4172.664063	0.878908396	35969.37891	0.00174023
0.660030542	4072.37085	0.899214089	35990.58984	0.001737408
0.660042123	4052.384521	0.916195154	35990.58984	0.001737378
0.660053683	3969.987793	0.92863065	35990.58984	0.001734735
0.660065253	3919.629395	0.942644894	35990.58984	0.001733975
0.660076836	3885.089111	0.954203963	35990.58984	0.001732963
0.660088397	3821.098877	0.965226352	35981.60156	0.001731505
0.660099987	3746.070313	0.976758599	35981.60156	0.001728963
0.660111567	3711.957031	0.988715291	35981.60156	0.001728972
0.660123151	5041.456055	0.99752146	35981.60156	0.001771867
0.6601347	5284.891113	1.015383124	35981.60156	0.001766518
0.660146282	5014.989258	1.029194951	35975.82813	0.001759063
0.660157841	4935.198242	1.043561101	35975.82813	0.001757755
0.660169427	4798.528809	1.057471633	35975.82813	0.001754801
0.660181001	4649.480469	1.071571469	35975.82813	0.001752022
0.660192607	4587.104492	1.086091995	35975.82813	0.00174919
0.660204166	4474.25293	1.098461151	35988.25	0.001746011
0.660215714	4415.153809	1.110414028	35988.25	0.00174472
0.660227297	4286.125488	1.121408343	35988.25	0.001742135
0.660238847	4217.07959	1.134208322	35988.25	0.001740913
0.660250445	4158.136719	1.145663858	35988.25	0.001739305
0.660262016	4118.962402	1.157279849	35998.55078	0.001737542
0.660273585	4046.540039	1.171973586	35998.55078	0.001736099
0.660285178	3989.458252	1.187779188	35998.55078	0.00173475
0.660296702	3935.701904	1.202136517	35998.55078	0.001733399
0.66030832	3879.448975	1.219063163	35998.55078	0.001732313
0.660319885	3823.492432	1.23350811	36013.33984	0.00173111
0.660331455	5178.625977	1.247450948	36013.33984	0.001774977
0.660343025	5366.731934	1.261769176	36013.33984	0.001766964
0.66035462	5202.190918	1.276554465	36013.33984	0.001763508
0.660366191	5016.502441	1.289305687	36013.33984	0.001758839
0.66037775	4853.506836	1.30428648	36011.19922	0.001755517
0.660389332	4770.393555	1.32149756	36011.19922	0.001752406
0.660400902	4655.946777	1.334874153	36011.19922	0.001749773
0.660412473	4575.816895	1.351758719	36011.19922	0.001748567
0.660424044	4492.938965	1.365695	36011.19922	0.001746358
0.660435619	4393.625	1.380838752	36024.51563	0.001743571
0.660447201	4317.887695	1.392410755	36024.51563	0.001742453
0.660458773	4235.327148	1.407069325	36024.51563	0.001739594
0.660470356	4167.54541	1.420823455	36024.51563	0.001738334
0.660481931	4085.782227	1.431451082	36024.51563	0.00173545
0.660493505	4070.239502	1.445586085	36023.02734	0.001735681
0.660505078	3994.587646	1.455714345	36023.02734	0.001734291
0.660516663	3927.582764	1.474152803	36023.02734	0.001732427
0.660528189	3887.688477	1.489165664	36023.02734	0.001730927
0.660539739	5434.605957	1.500018239	36023.02734	0.001773011
0.66055137	5382.744629	1.519774914	36029.23047	0.001767088
0.66056294	5156.084473	1.532052517	36029.23047	0.001761729
0.660574512	5006.050781	1.550726414	36029.23047	0.001757524
0.660586047	4857.869141	1.563544154	36029.23047	0.001754064
0.660597671	4755.529297	1.577643633	36029.23047	0.001751988
0.660609232	4648.512695	1.589017987	36010.15625	0.001749831
0.660620803	4569.021973	1.600110173	36010.15625	0.001747546
0.660632375	4481.830078	1.61406374	36010.15625	0.001745379
0.660643945	4382.723633	1.624140978	36010.15625	0.001743579
0.660655539	4300.095703	1.642361164	36010.15625	0.00174208
0.660667104	4215.43457	1.654829741	35968.91797	0.001740914
0.660678668	4140.483887	1.668928623	35968.91797	0.001739161
0.66069025	4111.631836	1.68694818	35968.91797	0.001738309
0.660701833	4053.381348	1.702301025	35968.91797	0.001736697
0.660713407	3987.320801	1.716498137	35968.91797	0.001736226
0.660724966	3926.911621	1.732152581	36018.29688	0.001732795
0.660736549	3939.256592	1.747875333	36018.29688	0.001732449
0.660748155	4950.422852	1.76374352	36018.29688	0.001756092
0.660759701	4800.700195	1.781355619	36018.29688	0.001752285
0.660771272	4674.111816	1.799911737	36018.29688	0.001749921
0.660782847	4564.230957	1.817735314	35980.07422	0.001749024
0.660794419	4465.940918	1.834725976	35980.07422	0.001746181
0.660806	4358.148926	1.854242921	35980.07422	0.001743975
0.66081757	4305.649414	1.867931604	35980.07422	0.00174228
0.66082914	4218.964355	1.886477351	35980.07422	0.00174098
