Day fraction since midnight on 	red dye (mg/L)	Supply air pressure (Pa)	Run Pump ()	Pump ()
0.592161824	1.826078892	0	1	1
0.592173309	1.82610023	0	1	1
0.592184964	1.826403976	0	1	1
0.592196535	1.826138139	0	1	1
0.592208119	1.826293707	0	1	1
0.592219674	1.82628119	0	1	1
0.592231266	1.826217294	0	1	1
0.59224282	1.82681191	0	1	1
0.592254427	1.826250672	0	1	1
0.592265975	1.826112628	0	1	1
0.592277557	1.826216817	0	1	1
0.592289056	1.826256633	0	1	1
0.592300692	1.82623446	0	1	1
0.592312275	1.826196909	0	1	1
0.59232386	1.827133775	0	1	1
0.592335432	1.826242805	0	1	1
0.592347009	1.826196909	0	1	1
0.592358574	1.826230764	0	1	1
0.592370151	1.826222897	0	1	1
0.592381711	1.826220155	0	1	1
0.592393295	1.826287746	0	1	1
0.592404803	1.826503515	0	1	1
0.592416455	1.826500297	0	1	1
0.592428004	1.826391935	0	1	1
0.592439587	1.826034427	0	1	1
0.592451165	1.826355815	0	1	1
0.592462754	1.826290488	0	1	1
0.592474314	1.826337218	0	1	1
0.592485875	1.826434493	0	1	1
0.592497461	1.826429367	0	1	1
0.592509038	1.826111794	0	1	1
0.592520567	1.826291442	0	1	1
0.592532177	1.826100588	0	1	1
0.592543742	1.826855898	0	1	1
0.592555338	1.826017737	0	1	1
0.59256691	1.82621038	0	1	1
0.592578456	1.826236367	0	1	1
0.592590051	1.826735497	0	1	1
0.592601616	1.82646966	0	1	1
0.592613204	1.826250196	0	1	1
0.59262477	1.826328874	0	1	1
0.592636337	1.826176524	0	1	1
0.592647908	1.826584101	0	1	1
0.592659493	1.826393247	0	1	1
0.592671075	1.826244235	0	1	1
0.592682642	1.826277018	0	1	1
0.592694205	1.82619369	0	1	1
0.5927058	1.82653594	0	1	1
0.592717352	1.826468349	0	1	1
0.592728957	1.826195121	0	1	1
0.59274051	1.826462746	0	1	1
0.592752104	1.826378465	0	1	1
0.592763636	1.826277971	0	1	1
0.592775222	1.826339126	0	1	1
0.592786807	1.82630527	0	1	1
0.592798377	1.826312304	0	1	1
0.592809961	1.826293707	0	1	1
0.592821525	1.82632196	0	1	1
0.592833122	1.826231718	0	1	1
0.59284468	1.826390505	0	1	1
0.592856252	1.826280713	0	1	1
0.592867844	1.826469183	0	1	1
0.592879407	1.826351643	0	1	1
0.592890963	1.826229811	0	1	1
0.592902566	1.82632339	0	1	1
0.592914123	1.826293707	0	1	1
0.592925706	1.826478005	0	1	1
0.592937265	1.826369166	0	1	1
0.592948835	1.826290965	0	1	1
0.59296042	1.826266885	0	1	1
0.592971997	1.827437997	0	1	1
0.592983562	1.826276541	0	1	1
0.592995128	1.826244593	0	1	1
0.593006711	1.826114535	0	1	1
0.593018292	1.826120973	0	1	1
0.593029868	1.826311827	0	1	1
0.593041454	1.826195121	0	1	1
0.593053011	1.826247931	0	1	1
0.593064569	1.826290488	0	1	1
0.593076161	1.826284051	0	1	1
0.593087731	1.826297402	0	1	1
0.593099294	1.826486349	0	1	1
0.593110885	1.826385856	0	1	1
0.593122441	1.826369643	0	1	1
0.593134033	1.826308489	0	1	1
0.593145611	1.826351643	0	1	1
0.593157183	1.826252103	0	1	1
0.593168758	1.826549768	0	1	1
0.593180318	1.8266716	0	1	1
0.593191883	1.826630831	0	1	1
0.593203458	1.826762319	0	1	1
0.593215036	1.827088356	0	1	1
0.593226609	1.82715416	0	1	1
0.593238187	1.826980948	0	1	1
0.593249763	1.827125907	0	1	1
0.593261337	1.827125907	0	1	1
0.593272905	1.827861786	0	1	1
0.593284476	1.82726109	0	1	1
0.59329606	1.827086449	0	1	1
0.593307642	1.827169895	0	1	1
0.593319208	1.827152252	0	1	1
0.59333079	1.827195764	0	1	1
0.593342358	1.827323556	0	1	1
0.593353933	1.827278256	0	1	1
0.593365491	1.82742548	0	1	1
0.593377069	1.82732594	0	1	1
0.59338865	1.827339768	0	1	1
0.593400224	1.827288866	0	1	1
0.593411806	1.82723558	0	1	1
0.593423381	1.827180028	0	1	1
0.593434946	1.827085137	0	1	1
0.593446529	1.827471376	0	1	1
0.593458111	1.827275872	0	1	1
0.593469659	1.827187896	0	1	1
0.593481243	1.827116132	0	1	1
0.593492824	1.827084661	0	1	1
0.593504383	1.827725172	0	1	1
0.593515968	1.827251315	0	1	1
0.593527538	1.827424049	0	1	1
0.593539104	1.827245355	0	1	1
0.593550683	1.827077746	0	1	1
0.593562265	1.827764511	0	1	1
0.593573855	1.82721889	0	1	1
0.593585413	1.827243924	0	1	1
0.593596982	1.82743752	0	1	1
0.593608573	1.827330113	0	1	1
0.593620128	1.827295303	0	1	1
0.593631693	1.827246308	0	1	1
0.593643277	1.827333331	0	1	1
0.593654853	1.827542663	0	1	1
0.593666428	1.827397704	0	1	1
0.593678007	1.827380061	0	1	1
0.593689563	1.827296257	0	1	1
0.593701146	1.827385187	0	1	1
0.593712732	1.82783258	0	1	1
0.593724285	1.831032872	0	1	1
0.59373587	1.836857677	0	1	1
0.593747448	1.844154716	0	1	1
0.593759022	1.852624297	0	1	1
0.593770581	1.859835625	0	1	1
0.593782179	1.865008712	0	1	1
0.59379374	1.86832583	0	1	1
0.593805299	1.870509267	0	1	1
0.59381689	1.874633551	0	1	1
0.593828456	1.872674227	0	1	1
0.593840034	1.872408152	0	1	1
0.593851611	1.872959971	0	1	1
0.593863192	1.870565653	0	1	1
0.593874762	1.869588733	0	1	1
0.59388632	1.868670464	0	1	1
0.593897925	1.867611408	0	1	1
0.593909482	1.865921855	0	1	1
0.593921044	1.864729643	0	1	1
0.593932636	1.864015579	0	1	1
0.593944206	1.863623142	0	1	1
0.593955769	1.862764597	0	1	1
0.593967355	1.861136794	0	1	1
0.593978939	1.860084653	0	1	1
0.593990494	1.859055877	0	1	1
